Date,Year,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
1/1/2004,2004,4,0,268,0
1/2/2004,2004,4,0,268,0
1/3/2004,2004,4,0,267,0
1/4/2004,2004,4,0,267,0
1/5/2004,2004,4,0,267,0
1/6/2004,2004,4,0,266,0
1/7/2004,2004,4,0,266,0
1/8/2004,2004,4,0,265,0
1/9/2004,2004,4,0,264,0
1/10/2004,2004,4,0,264,0
1/11/2004,2004,4,0,263,0
1/12/2004,2004,4,0,262,0
1/13/2004,2004,4,0,261,0
1/14/2004,2004,4,0,260,0
1/15/2004,2004,4,0,259,0
1/16/2004,2004,3,0,258,0
1/17/2004,2004,3,0,256,0
1/18/2004,2004,3,0,254,0
1/19/2004,2004,3,0,252,0
1/20/2004,2004,3,0,250,0
1/21/2004,2004,3,0,247,0
1/22/2004,2004,3,0,244,0
1/23/2004,2004,3,0,242,0
1/24/2004,2004,3,0,239,0
1/25/2004,2004,3,0,237,0
1/26/2004,2004,3,0,234,0
1/27/2004,2004,4,0,232,0
1/28/2004,2004,5,0,230,0
1/29/2004,2004,5,0,227,0
1/30/2004,2004,5,0,225,0
1/31/2004,2004,5,0,223,0
2/1/2004,2004,5,0,220,0
2/2/2004,2004,5,0,218,0
2/3/2004,2004,5,0,216,0
2/4/2004,2004,5,0,213,0
2/5/2004,2004,5,0,211,0
2/6/2004,2004,5,0,209,0
2/7/2004,2004,5,0,206,0
2/8/2004,2004,5,0,204,0
2/9/2004,2004,5,0,202,0
2/10/2004,2004,5,0,200,0
2/11/2004,2004,5,0,197,0
2/12/2004,2004,4,0,195,0
2/13/2004,2004,4,0,193,0
2/14/2004,2004,4,0,191,0
2/15/2004,2004,4,0,189,0
2/16/2004,2004,4,0,186,0
2/17/2004,2004,4,0,184,0
2/18/2004,2004,4,0,182,0
2/19/2004,2004,5,0,179,0
2/20/2004,2004,5,0,177,0
2/21/2004,2004,5,0,175,0
2/22/2004,2004,5,0,172,0
2/23/2004,2004,5,0,170,0
2/24/2004,2004,5,0,168,0
2/25/2004,2004,5,0,165,0
2/26/2004,2004,5,0,163,0
2/27/2004,2004,5,0,161,0
2/28/2004,2004,5,0,158,0
2/29/2004,2004,5,0,156,0
3/1/2004,2004,4,0,153,0
3/2/2004,2004,4,0,151,0
3/3/2004,2004,4,0,149,0
3/4/2004,2004,4,0,147,0
3/5/2004,2004,4,0,145,0
3/6/2004,2004,4,0,143,0
3/7/2004,2004,4,0,141,0
3/8/2004,2004,4,0,139,0
3/9/2004,2004,7,0,137,0
3/10/2004,2004,11,0,135,0
3/11/2004,2004,14,0,134,0
3/12/2004,2004,15,0,137,0
3/13/2004,2004,16,0,140,0
3/14/2004,2004,18,0,144,0
3/15/2004,2004,21,0,148,0
3/16/2004,2004,23,0,152,0
3/17/2004,2004,25,0,155,0
3/18/2004,2004,26,0,159,0
3/19/2004,2004,24,0,162,0
3/20/2004,2004,21,0,165,0
3/21/2004,2004,17,0,168,0
3/22/2004,2004,13,0,172,0
3/23/2004,2004,10,0,175,0
3/24/2004,2004,9,0,177,0
3/25/2004,2004,10,0,179,0
3/26/2004,2004,10,0,181,0
3/27/2004,2004,10,0,183,0
3/28/2004,2004,9,0,185,0
3/29/2004,2004,9,0,187,0
3/30/2004,2004,8,0,188,0
3/31/2004,2004,8,0,189,0
4/1/2004,2004,8,0,190,0
4/2/2004,2004,8,0,191,0
4/3/2004,2004,8,0,192,0
4/4/2004,2004,8,0,192,0
4/5/2004,2004,7,0,193,0
4/6/2004,2004,6,0,192,0
4/7/2004,2004,5,0,190,0
4/8/2004,2004,6,0,188,0
4/9/2004,2004,7,0,187,0
4/10/2004,2004,8,0,186,0
4/11/2004,2004,8,0,186,0
4/12/2004,2004,7,0,186,0
4/13/2004,2004,6,0,186,0
4/14/2004,2004,6,0,186,0
4/15/2004,2004,6,0,185,0
4/16/2004,2004,5,0,183,0
4/17/2004,2004,5,0,181,0
4/18/2004,2004,5,0,179,0
4/19/2004,2004,5,0,177,0
4/20/2004,2004,5,0,174,0
4/21/2004,2004,5,0,172,0
4/22/2004,2004,4,0,169,0
4/23/2004,2004,4,0,167,0
4/24/2004,2004,4,0,165,0
4/25/2004,2004,4,0,163,0
4/26/2004,2004,4,0,161,0
4/27/2004,2004,4,0,159,0
4/28/2004,2004,4,0,157,0
4/29/2004,2004,4,0,155,0
4/30/2004,2004,4,0,153,0
5/1/2004,2004,4,0,151,0
5/2/2004,2004,3,0,149,0
5/3/2004,2004,3,0,147,0
5/4/2004,2004,5,0,147,0
5/5/2004,2004,7,0,147,0
5/6/2004,2004,9,0,150,0
5/7/2004,2004,8,0,154,0
5/8/2004,2004,7,0,157,0
5/9/2004,2004,5,0,160,0
5/10/2004,2004,5,0,161,0
5/11/2004,2004,4,0,161,0
5/12/2004,2004,4,0,159,0
5/13/2004,2004,4,0,157,0
5/14/2004,2004,4,0,155,0
5/15/2004,2004,4,0,153,0
5/16/2004,2004,4,0,151,0
5/17/2004,2004,6,0,150,0
5/18/2004,2004,7,0,149,0
5/19/2004,2004,8,0,147,0
5/20/2004,2004,8,0,145,0
5/21/2004,2004,8,0,144,0
5/22/2004,2004,8,0,142,0
5/23/2004,2004,8,0,141,0
5/24/2004,2004,8,0,139,0
5/25/2004,2004,8,0,137,0
5/26/2004,2004,8,0,135,0
5/27/2004,2004,7,0,133,0
5/28/2004,2004,5,0,135,0
5/29/2004,2004,4,0,135,0
5/30/2004,2004,4,0,133,0
5/31/2004,2004,4,0,132,0
6/1/2004,2004,5,0,130,0
6/2/2004,2004,5,0,129,0
6/3/2004,2004,5,0,127,0
6/4/2004,2004,5,0,126,0
6/5/2004,2004,5,0,125,0
6/6/2004,2004,5,0,124,0
6/7/2004,2004,5,0,123,0
6/8/2004,2004,5,0,122,0
6/9/2004,2004,6,0,121,0
6/10/2004,2004,6,0,120,0
6/11/2004,2004,7,0,119,0
6/12/2004,2004,7,0,118,0
6/13/2004,2004,7,0,118,0
6/14/2004,2004,7,0,117,0
6/15/2004,2004,7,0,117,0
6/16/2004,2004,7,0,116,0
6/17/2004,2004,7,0,116,0
6/18/2004,2004,7,0,115,0
6/19/2004,2004,7,0,115,0
6/20/2004,2004,7,0,114,0
6/21/2004,2004,6,0,114,0
6/22/2004,2004,6,0,113,0
6/23/2004,2004,6,0,113,0
6/24/2004,2004,6,0,112,0
6/25/2004,2004,6,0,112,0
6/26/2004,2004,6,0,111,0
6/27/2004,2004,6,0,111,0
6/28/2004,2004,6,0,110,0
6/29/2004,2004,6,0,110,0
6/30/2004,2004,6,0,109,0
7/1/2004,2004,5,0,109,0
7/2/2004,2004,5,0,108,0
7/3/2004,2004,5,0,107,0
7/4/2004,2004,6,0,106,0
7/5/2004,2004,6,0,105,0
7/6/2004,2004,6,0,104,0
7/7/2004,2004,6,0,103,0
7/8/2004,2004,6,0,102,0
7/9/2004,2004,6,0,101,0
7/10/2004,2004,6,0,100,0
7/11/2004,2004,6,0,99,0
7/12/2004,2004,6,0,98,0
7/13/2004,2004,6,0,98,0
7/14/2004,2004,6,0,96,0
7/15/2004,2004,5,0,93,0
7/16/2004,2004,5,0,90,0
7/17/2004,2004,5,0,87,0
7/18/2004,2004,5,0,84,0
7/19/2004,2004,5,0,81,0
7/20/2004,2004,5,0,78,0
7/21/2004,2004,5,0,75,0
7/22/2004,2004,5,0,73,0
7/23/2004,2004,5,0,70,0
7/24/2004,2004,4,0,68,0
7/25/2004,2004,4,0,65,0
7/26/2004,2004,4,0,63,0
7/27/2004,2004,4,0,61,0
7/28/2004,2004,4,0,58,0
7/29/2004,2004,4,0,56,0
7/30/2004,2004,4,0,53,0
7/31/2004,2004,4,0,51,0
8/1/2004,2004,4,0,49,0
8/2/2004,2004,3,0,46,0
8/3/2004,2004,3,0,44,0
8/4/2004,2004,3,0,41,0
8/5/2004,2004,3,0,39,0
8/6/2004,2004,3,0,37,0
8/7/2004,2004,3,0,34,0
8/8/2004,2004,3,0,32,0
8/9/2004,2004,3,0,29,0
8/10/2004,2004,3,0,27,0
8/11/2004,2004,3,0,0,0
8/12/2004,2004,3,0,0,0
8/13/2004,2004,3,0,0,0
8/14/2004,2004,3,0,0,0
8/15/2004,2004,3,0,0,0
8/16/2004,2004,3,0,0,0
8/17/2004,2004,3,0,0,0
8/18/2004,2004,2,0,0,0
8/19/2004,2004,2,0,0,0
8/20/2004,2004,2,0,0,0
8/21/2004,2004,2,0,0,0
8/22/2004,2004,2,0,0,0
8/23/2004,2004,2,0,0,0
8/24/2004,2004,2,0,0,0
8/25/2004,2004,2,0,0,0
8/26/2004,2004,2,0,0,0
8/27/2004,2004,2,0,0,0
8/28/2004,2004,2,0,0,0
8/29/2004,2004,1,0,0,0
8/30/2004,2004,1,0,0,0
8/31/2004,2004,1,0,0,0
9/1/2004,2004,1,0,0,0
9/2/2004,2004,1,0,0,0
9/3/2004,2004,1,0,0,0
9/4/2004,2004,1,0,0,0
9/5/2004,2004,1,0,0,0
9/6/2004,2004,2,0,0,0
9/7/2004,2004,2,0,0,0
9/8/2004,2004,2,0,0,0
9/9/2004,2004,2,0,0,0
9/10/2004,2004,3,0,0,0
9/11/2004,2004,3,0,0,0
9/12/2004,2004,2,0,0,0
9/13/2004,2004,2,0,0,0
9/14/2004,2004,2,0,0,0
9/15/2004,2004,2,0,0,0
9/16/2004,2004,2,0,0,0
9/17/2004,2004,2,0,0,0
9/18/2004,2004,2,0,0,0
9/19/2004,2004,2,0,0,0
9/20/2004,2004,3,0,0,0
9/21/2004,2004,5,0,0,0
9/22/2004,2004,5,0,0,0
9/23/2004,2004,7,0,0,0
9/24/2004,2004,8,0,0,0
9/25/2004,2004,9,0,0,0
9/26/2004,2004,10,0,0,0
9/27/2004,2004,11,0,0,0
9/28/2004,2004,12,0,0,0
9/29/2004,2004,12,0,0,0
9/30/2004,2004,14,0,0,0
10/1/2004,2004,14,0,0,0
10/2/2004,2004,15,0,0,0
10/3/2004,2004,17,0,0,0
10/4/2004,2004,18,0,0,0
10/5/2004,2004,18,0,0,0
10/6/2004,2004,19,0,0,0
10/7/2004,2004,19,0,0,0
10/8/2004,2004,19,0,0,0
10/9/2004,2004,19,0,0,0
10/10/2004,2004,18,0,0,0
10/11/2004,2004,19,0,0,0
10/12/2004,2004,19,0,0,0
10/13/2004,2004,19,0,0,0
10/14/2004,2004,19,0,0,0
10/15/2004,2004,19,0,0,0
10/16/2004,2004,19,0,0,0
10/17/2004,2004,19,0,0,0
10/18/2004,2004,20,0,0,0
10/19/2004,2004,20,0,0,0
10/20/2004,2004,21,0,0,0
10/21/2004,2004,21,0,0,0
10/22/2004,2004,22,0,0,0
10/23/2004,2004,23,0,0,0
10/24/2004,2004,23,0,0,0
10/25/2004,2004,23,0,0,0
10/26/2004,2004,25,0,0,0
10/27/2004,2004,28,0,0,0
10/28/2004,2004,30,0,0,0
10/29/2004,2004,33,0,0,0
10/30/2004,2004,37,0,0,33
10/31/2004,2004,45,0,41,59
11/1/2004,2004,50,0,175,72
11/2/2004,2004,52,0,275,78
11/3/2004,2004,54,0,281,78
11/4/2004,2004,57,0,286,78
11/5/2004,2004,58,0,286,78
11/6/2004,2004,64,20,390,101
11/7/2004,2004,75,50,475,170
11/8/2004,2004,93,57,587,250
11/9/2004,2004,109,129,675,284
11/10/2004,2004,120,133,699,292
11/11/2004,2004,128,128,708,292
11/12/2004,2004,131,123,713,292
11/13/2004,2004,146,144,773,437
11/14/2004,2004,174,158,808,491
11/15/2004,2004,185,160,814,502
11/16/2004,2004,192,164,819,502
11/17/2004,2004,196,166,824,502
11/18/2004,2004,197,166,824,502
11/19/2004,2004,198,166,822,502
11/20/2004,2004,199,165,819,502
11/21/2004,2004,199,164,816,502
11/22/2004,2004,199,163,813,502
11/23/2004,2004,199,162,810,502
11/24/2004,2004,199,161,807,501
11/25/2004,2004,198,160,804,500
11/26/2004,2004,199,159,801,499
11/27/2004,2004,217,160,801,499
11/28/2004,2004,225,160,801,498
11/29/2004,2004,247,159,798,496
11/30/2004,2004,284,159,796,495
