Date,Year,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
1/1/2004,2004,0,0,0,0
1/2/2004,2004,0,0,0,0
1/3/2004,2004,0,0,0,0
1/4/2004,2004,0,0,0,0
1/5/2004,2004,0,0,0,0
1/6/2004,2004,0,0,0,0
1/7/2004,2004,0,0,0,0
1/8/2004,2004,0,0,0,0
1/9/2004,2004,0,0,0,0
1/10/2004,2004,0,0,0,0
1/11/2004,2004,0,0,0,0
1/12/2004,2004,0,0,0,0
1/13/2004,2004,0,0,0,0
1/14/2004,2004,0,0,0,0
1/15/2004,2004,0,0,0,0
1/16/2004,2004,0,0,0,0
1/17/2004,2004,0,0,0,0
1/18/2004,2004,0,0,0,0
1/19/2004,2004,0,0,0,0
1/20/2004,2004,0,0,0,0
1/21/2004,2004,0,0,0,0
1/22/2004,2004,0,0,0,0
1/23/2004,2004,0,0,0,0
1/24/2004,2004,0,0,0,0
1/25/2004,2004,0,0,0,0
1/26/2004,2004,0,0,0,0
1/27/2004,2004,31,3,2,3
1/28/2004,2004,33,4,17,18
1/29/2004,2004,0,0,0,0
1/30/2004,2004,0,0,0,0
1/31/2004,2004,0,0,0,0
2/1/2004,2004,0,0,0,0
2/2/2004,2004,0,0,0,0
2/3/2004,2004,0,0,0,0
2/4/2004,2004,0,0,0,0
2/5/2004,2004,0,0,0,0
2/6/2004,2004,0,0,0,0
2/7/2004,2004,0,0,0,0
2/8/2004,2004,0,0,0,0
2/9/2004,2004,0,0,0,0
2/10/2004,2004,0,0,0,0
2/11/2004,2004,0,0,0,0
2/12/2004,2004,0,0,0,0
2/13/2004,2004,0,0,0,0
2/14/2004,2004,0,0,0,0
2/15/2004,2004,0,0,0,0
2/16/2004,2004,0,0,0,0
2/17/2004,2004,0,0,0,0
2/18/2004,2004,0,0,0,0
2/19/2004,2004,0,0,0,0
2/20/2004,2004,0,0,0,0
2/21/2004,2004,0,0,0,0
2/22/2004,2004,0,0,0,0
2/23/2004,2004,0,0,0,0
2/24/2004,2004,0,0,0,0
2/25/2004,2004,0,0,0,0
2/26/2004,2004,0,0,0,0
2/27/2004,2004,0,0,0,0
2/28/2004,2004,0,0,0,0
2/29/2004,2004,0,0,0,0
3/1/2004,2004,0,0,0,0
3/2/2004,2004,0,0,0,0
3/3/2004,2004,0,0,0,0
3/4/2004,2004,0,0,0,0
3/5/2004,2004,0,0,0,0
3/6/2004,2004,0,0,0,0
3/7/2004,2004,0,0,0,0
3/8/2004,2004,0,0,0,0
3/9/2004,2004,0,0,0,0
3/10/2004,2004,0,0,0,0
3/11/2004,2004,0,0,0,0
3/12/2004,2004,0,0,0,0
3/13/2004,2004,0,0,0,0
3/14/2004,2004,0,0,0,0
3/15/2004,2004,0,0,0,0
3/16/2004,2004,0,0,0,0
3/17/2004,2004,0,0,0,0
3/18/2004,2004,0,0,0,0
3/19/2004,2004,0,0,0,0
3/20/2004,2004,0,0,0,0
3/21/2004,2004,0,0,0,0
3/22/2004,2004,0,0,0,0
3/23/2004,2004,0,0,0,0
3/24/2004,2004,0,0,0,0
3/25/2004,2004,0,0,0,0
3/26/2004,2004,0,0,0,0
3/27/2004,2004,0,0,0,0
3/28/2004,2004,0,0,0,0
3/29/2004,2004,0,0,0,0
3/30/2004,2004,0,0,0,0
3/31/2004,2004,0,0,0,0
4/1/2004,2004,0,0,0,0
4/2/2004,2004,0,0,0,0
4/3/2004,2004,0,0,0,0
4/4/2004,2004,0,0,0,0
4/5/2004,2004,0,0,0,0
4/6/2004,2004,0,0,0,0
4/7/2004,2004,20,0,0,5
4/8/2004,2004,0,0,0,0
4/9/2004,2004,0,0,0,0
4/10/2004,2004,0,0,0,0
4/11/2004,2004,0,0,0,0
4/12/2004,2004,0,0,0,0
4/13/2004,2004,0,0,0,0
4/14/2004,2004,0,0,0,0
4/15/2004,2004,0,0,0,0
4/16/2004,2004,0,0,0,0
4/17/2004,2004,0,0,0,0
4/18/2004,2004,0,0,0,0
4/19/2004,2004,1,0,0,0
4/20/2004,2004,0,0,0,0
4/21/2004,2004,0,0,0,0
4/22/2004,2004,0,0,0,0
4/23/2004,2004,0,0,0,0
